"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
1. 质量,100,COMEDY,1. 西班牙语,3409,COMEDY
2. 子,1426,TRAGEDY,2. 图表,2656,TRAGEDY
3. 手表,1699,COMEDY,3. 让,17,COMEDY
4. 南部,4675,COMEDY,4. 输出,245,TRAGEDY
5. 粉,2037,COMEDY,5. 纸,2012,COMEDY
6. 桥,3940,TRAGEDY,6. 医生,164,TRAGEDY
7. 小王,3880,COMEDY,7. 巧克力,817,COMEDY
8. 理解,131,COMEDY,8. 博物馆,1304,TRAGEDY
9. 规,3991,TRAGEDY,9. 知,2192,COMEDY
10. 氧化,2090,TRAGEDY,10. 作物,3925,TRAGEDY
11. 过程,75,COMEDY,11. 飓风,4324,TRAGEDY
12. 吃饭,3855,COMEDY,12. 农历,4448,COMEDY
13. 自身,703,TRAGEDY,13. 集中,1120,TRAGEDY
14. 光谱,4339,COMEDY,14. 逃离,4038,TRAGEDY
15. 界面,1017,COMEDY,15. 乡村,2626,COMEDY
16. 花费,1477,TRAGEDY,16. 化石,1969,TRAGEDY
17. 标注,2915,COMEDY,17. 办理,4172,TRAGEDY
18. 登录,1906,COMEDY,18. 摄取,4204,COMEDY
19. 行,771,COMEDY,19. 放,487,COMEDY
20. 钾,4748,COMEDY,20. 增大,4796,TRAGEDY
21. 科幻,3663,COMEDY,21. 返回,583,COMEDY
22. 规范,1033,TRAGEDY,22. 经历,442,TRAGEDY
23. 臀部,4538,COMEDY,23. 储存,1869,TRAGEDY
24. 防范,2679,TRAGEDY,24. 规划,397,TRAGEDY
25. 时尚,957,COMEDY,25. 看待,2199,COMEDY
26. 配饰,3461,COMEDY,26. 解读,1932,COMEDY
27. 非洲,2256,TRAGEDY,27. 创业,989,COMEDY
28. 理性,3437,TRAGEDY,28. 支撑,1766,COMEDY
29. 忘记,2275,TRAGEDY,29. 工程,865,TRAGEDY
30. 望,3702,COMEDY,30. 质数,2240,TRAGEDY
31. 转移,2049,COMEDY,31. 恶化,3745,TRAGEDY
32. 们,318,COMEDY,32. 腌制,2649,COMEDY
33. 规格,3041,TRAGEDY,33. 电视剧,2151,COMEDY
34. 通讯,2655,COMEDY,34. 赢得,1634,COMEDY
35. 自制,4918,COMEDY,35. 卡路里,3240,COMEDY
36. 周边,2698,COMEDY,36. 想象,1468,COMEDY
37. 约定,2642,COMEDY,37. 回顾,3823,TRAGEDY
38. 插件,3824,COMEDY,38. 教育,144,COMEDY
39. 店铺,3166,COMEDY,39. 屏幕,1173,COMEDY
40. 床,1722,COMEDY,40. 服务,82,COMEDY
41. 前景,820,TRAGEDY,41. 失误,4765,COMEDY
42. 农药,4873,TRAGEDY,42. 电压,2826,TRAGEDY
43. 材料,162,COMEDY,43. 视频,710,COMEDY
44. 互动,624,COMEDY,44. 微波炉,3203,COMEDY
45. 做好,1025,COMEDY,45. 鞋子,2226,COMEDY
46. 芝士,1713,COMEDY,46. 作品,290,COMEDY
47. 症,3669,TRAGEDY,47. 洗澡,2782,COMEDY
